season,round,game,home,team,points,points_against,opponent,avgPD,avgPD_opp,wins,wins_opp,points_diff,win,draw
11_12,12,69,0,irish,3,30,bath,3,-3.363636364,5,4,-27,0,0
11_12,12,70,0,gloucester,15,15,saracens,2.454545455,5.727272727,5,9,0,0,1
11_12,12,71,0,worcester,6,0,wasps,-5.181818182,-5.454545455,3,4,6,1,0
11_12,12,72,0,sale,23,28,leicester,-1.818181818,0.727272727,6,5,-5,0,0
11_12,12,67,1,newcastle,14,32,northampton,-11.81818182,6.090909091,2,6,-18,0,0
11_12,12,68,1,exeter,9,11,harlequins,-1.272727273,10.90909091,5,10,-2,0,0
11_12,12,69,1,bath,30,3,irish,-3.363636364,3,4,5,27,1,0
11_12,12,70,1,saracens,15,15,gloucester,5.727272727,2.454545455,9,5,0,0,1
11_12,12,71,1,wasps,0,6,worcester,-5.454545455,-5.181818182,4,3,-6,0,0
11_12,12,72,1,leicester,28,23,sale,0.727272727,-1.818181818,5,6,5,1,0
11_12,13,73,0,harlequins,3,24,northampton,10.16666667,7.083333333,11,7,-21,0,0
11_12,13,74,0,gloucester,15,21,worcester,2.25,-4.25,5,4,-6,0,0
11_12,13,75,0,exeter,16,10,newcastle,-1.333333333,-12.33333333,5,2,6,1,0
11_12,13,76,0,wasps,11,29,leicester,-5.5,1.083333333,4,6,-18,0,0
11_12,13,77,0,sale,19,21,irish,-2.083333333,0.5,6,5,-2,0,0
11_12,13,78,0,bath,19,26,saracens,-0.833333333,5.25,5,9,-7,0,0
11_12,13,73,1,northampton,24,3,harlequins,7.083333333,10.16666667,7,11,21,1,0
11_12,13,74,1,worcester,21,15,gloucester,-4.25,2.25,4,5,6,1,0
11_12,13,75,1,newcastle,10,16,exeter,-12.33333333,-1.333333333,2,5,-6,0,0
11_12,13,76,1,leicester,29,11,wasps,1.083333333,-5.5,6,4,18,1,0
11_12,13,77,1,irish,21,19,sale,0.5,-2.083333333,5,6,2,1,0
11_12,13,78,1,saracens,26,19,bath,5.25,-0.833333333,9,5,7,1,0
11_12,14,79,0,worcester,12,15,sale,-3.461538462,-2.076923077,5,6,-3,0,0
11_12,14,80,0,irish,23,30,harlequins,0.615384615,7.769230769,6,11,-7,0,0
11_12,14,81,0,newcastle,24,30,bath,-11.84615385,-1.307692308,2,5,-6,0,0
11_12,14,82,0,northampton,24,27,gloucester,8.153846154,1.615384615,8,5,-3,0,0
11_12,14,83,0,leicester,11,19,exeter,2.384615385,-0.769230769,7,6,-8,0,0
11_12,14,84,0,saracens,22,17,wasps,5.384615385,-6.461538462,10,4,5,1,0
11_12,14,79,1,sale,15,12,worcester,-2.076923077,-3.461538462,6,5,3,1,0
