round,game,team,points,points_against,opponent,points_diff,home,avgPD,wins,win,draw
3,18,saracens,26,14,yorkshire,12,0,-1,,1,0
4,24,saracens,24,17,northampton,7,1,3.333333333,,1,0
5,30,saracens,26,20,leicester,6,1,4.25,,1,0
6,32,saracens,15,13,newcastle,2,0,4.6,,1,0
7,38,saracens,9,23,exeter,-14,1,4.166666667,,0,0
8,48,saracens,17,13,bath,4,0,1.571428571,,1,0
9,52,saracens,13,19,gloucester,-6,0,1.875,,0,0
10,56,saracens,26,14,harlequins,12,1,1,,1,0
11,58,saracens,13,6,wasps,7,1,2.1,,1,0
12,64,saracens,22,28,sale,-6,0,2.545454545,,0,0
13,72,saracens,12,6,irish,6,1,1.833333333,,1,0
14,75,saracens,29,15,northampton,14,0,2.153846154,,1,0
15,84,saracens,39,0,yorkshire,39,1,3,,1,0
16,89,saracens,26,15,wasps,11,0,5.4,,1,0
17,93,saracens,15,14,leicester,1,0,5.75,,1,0
18,103,saracens,24,9,newcastle,15,1,5.470588235,,1,0
19,107,saracens,20,9,bath,11,1,6,,1,0
20,115,saracens,33,12,exeter,21,0,6.263157895,,1,0
21,124,saracens,35,12,gloucester,23,1,7,,1,0
22,130,saracens,16,13,harlequins,3,0,7.761904762,,1,0
1,4,wasps,29,29,harlequins,0,1,0,,0,1
2,7,wasps,17,29,newcastle,-12,0,0,,0,0
3,16,wasps,37,30,leicester,7,1,-6,,1,0
4,20,wasps,20,22,gloucester,-2,0,-1.666666667,,0,0
5,25,wasps,25,24,sale,1,0,-1.75,,1,0
6,36,wasps,10,37,northampton,-27,1,-1.2,,0,0
7,42,wasps,17,8,yorkshire,9,0,-5.5,,1,0
8,46,wasps,33,25,irish,8,1,-3.428571429,,1,0
9,53,wasps,11,6,bath,5,0,-2,,1,0
10,57,wasps,24,12,exeter,12,1,-1.222222222,,1,0
11,58,wasps,6,13,saracens,-7,0,0.1,,0,0
12,65,wasps,33,16,newcastle,17,1,-0.545454545,,1,0
13,69,wasps,10,17,harlequins,-7,0,0.916666667,,0,0
14,78,wasps,9,10,gloucester,-1,1,0.307692308,,0,0
15,83,wasps,12,21,leicester,-9,0,0.214285714,,0,0
16,89,wasps,15,26,saracens,-11,1,-0.4,,0,0
17,95,wasps,33,26,sale,7,1,-1.0625,,1,0
18,102,wasps,3,39,northampton,-36,0,-0.588235294,,0,0
19,108,wasps,12,25,irish,-13,0,-2.555555556,,0,0
20,118,wasps,51,18,yorkshire,33,1,-3.105263158,,1,0
21,123,wasps,10,43,bath,-33,1,-1.3,,0,0
22,128,wasps,8,21,exeter,-13,0,-2.80952381,,0,0
1,6,yorkshire,16,32,bath,-16,1,,,0,0
2,10,yorkshire,21,22,gloucester,-1,0,-16,,0,0
3,18,yorkshire,14,26,saracens,-12,1,-8.5,,0,0
4,22,yorkshire,6,48,leicester,-42,0,-9.666666667,,0,0
5,28,yorkshire,24,40,irish,-16,0,-17.75,,0,0
6,31,yorkshire,3,6,sale,-3,1,-17.4,,0,0
7,42,yorkshire,8,17,wasps,-9,1,-15,,0,0
8,45,yorkshire,9,15,exeter,-6,0,-14.14285714,,0,0
9,54,yorkshire,18,51,harlequins,-33,0,-13.125,,0,0
10,61,yorkshire,15,13,gloucester,2,1,-15.33333333,,1,0
11,68,yorkshire,13,16,bath,-3,0,-13.6,,0,0
12,77,yorkshire,9,15,leicester,-6,1,-12.63636364,,0,0
13,84,yorkshire,0,39,saracens,-39,0,-12.08333333,,0,0
14,90,yorkshire,5,22,newcastle,-17,1,-14.15384615,,0,0
15,96,yorkshire,27,19,irish,8,1,-14.35714286,,1,0
16,97,yorkshire,13,23,northampton,-10,1,-12.86666667,,0,0
17,98,yorkshire,12,15,sale,-3,0,-12.6875,,0,0
18,109,yorkshire,27,22,exeter,5,1,-12.11764706,,1,0
19,112,yorkshire,30,29,newcastle,1,0,-11.16666667,,1,0
20,118,yorkshire,18,51,wasps,-33,0,-10.52631579,,0,0
21,125,yorkshire,3,38,harlequins,-35,1,-11.65,,0,0
22,132,yorkshire,24,31,northampton,-7,0,-12.76190476,,0,0
