1011,1112,1213,1314,1415,bath,bath_home,bath_opp,exeter,exeter_home,exeter_opp,game,gloucester,gloucester_home,gloucester_opp,harlequins,harlequins_home,harlequins_opp,irish,irish_home,irish_opp,leicester,leicester_home,leicester_opp,newcastle,newcastle_home,newcastle_opp,northampton,northampton_home,northampton_opp,opponent,points,points_against,points_diff,round,sale,sale_home,sale_opp,saracens,saracens_home,saracens_opp,team,wasps,wasps_home,wasps_opp,welsh,welsh_home,welsh_opp,win,worcester,worcester_home,worcester_opp,yorkshire,yorkshire_home,yorkshire_opp
1,0,0,0,0,1,1,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wasps,6,11,-5,9,0,0,0,0,0,0,bath,1,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,54,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yorkshire,51,18,33,9,0,0,0,0,0,0,harlequins,0,0,0,0,0,0,1,0,0,0,1,0,1
1,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,leicester,14,23,-9,10,0,0,0,0,0,0,irish,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,56,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,harlequins,26,14,12,10,0,0,0,1,1,0,saracens,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,0,1,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,exeter,24,12,12,10,0,0,0,0,0,0,wasps,1,1,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wasps,13,6,7,10,0,0,0,1,1,0,saracens,1,0,1,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,sale,54,21,33,10,1,0,1,0,0,0,leicester,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,60,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,irish,28,18,10,10,0,0,0,0,0,0,harlequins,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,61,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gloucester,15,13,2,11,0,0,0,0,0,0,yorkshire,0,0,0,0,0,0,1,0,0,0,1,1,0
1,0,0,0,0,0,0,0,0,0,0,62,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,harlequins,13,16,-3,11,0,0,0,0,0,0,northampton,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,1,0,0,0,63,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,bath,24,25,-1,11,0,0,0,0,0,0,irish,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,saracens,28,22,6,11,1,1,0,1,0,1,sale,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,newcastle,33,16,17,11,0,0,0,0,0,0,wasps,1,1,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,1,0,66,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,leicester,15,22,-7,11,0,0,0,0,0,0,exeter,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,sale,19,19,0,12,1,0,1,0,0,0,newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,1,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yorkshire,16,13,3,12,0,0,0,0,0,0,bath,0,0,0,0,0,0,1,0,0,0,1,0,1
1,0,0,0,0,0,0,0,0,0,0,69,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,wasps,17,10,7,12,0,0,0,0,0,0,harlequins,1,0,1,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,0,1,70,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,exeter,37,23,14,12,0,0,0,0,0,0,gloucester,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,northampton,27,16,11,12,0,0,0,0,0,0,leicester,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,irish,12,6,6,12,0,0,0,1,1,0,saracens,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,1,0,1,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bath,7,19,-12,13,1,1,0,0,0,0,sale,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,newcastle,23,14,9,13,0,0,0,0,0,0,irish,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,saracens,15,29,-14,13,0,0,0,1,0,1,northampton,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,1,0,76,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,harlequins,20,6,14,13,0,0,0,0,0,0,exeter,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,leicester,9,15,-6,13,0,0,0,0,0,0,yorkshire,0,0,0,0,0,0,0,0,0,0,1,1,0
1,0,0,0,0,0,0,0,0,0,0,78,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gloucester,9,10,-1,13,0,0,0,0,0,0,wasps,1,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,79,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,irish,23,9,14,14,0,0,0,0,0,0,gloucester,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,0,1,80,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,exeter,13,23,-10,14,0,0,0,0,0,0,newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,81,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,sale,21,9,12,14,1,0,1,0,0,0,harlequins,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,1,1,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,northampton,38,8,30,14,0,0,0,0,0,0,bath,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,wasps,21,12,9,14,0,0,0,0,0,0,leicester,1,0,1,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yorkshire,39,0,39,14,0,0,0,1,1,0,saracens,0,0,0,0,0,0,1,0,0,0,1,0,1
1,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,leicester,16,18,-2,15,1,1,0,0,0,0,sale,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,86,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,harlequins,15,9,6,15,0,0,0,0,0,0,irish,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,87,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,gloucester,16,18,-2,15,0,0,0,0,0,0,northampton,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,1,1,1,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bath,9,12,-3,15,0,0,0,0,0,0,exeter,0,0,0,0,0,0,0,0,0,0,0,0,0
