season,round,game,home,team,points,points_against,opponent,points_diff,win,draw,avgPD,avgPD_opp
14_15,15,88,1,gloucester,48,10,welsh,38,1,0,0.333333333,-1.921052632
14_15,15,89,0,saracens,10,14,sale,-4,0,0,7.322580645,3.533333333
14_15,15,89,1,sale,14,10,saracens,4,1,0,3.533333333,7.322580645
14_15,15,90,0,leicester,12,6,irish,6,1,0,-1.666666667,-3.866666667
14_15,15,90,1,irish,6,12,leicester,-6,0,0,-6.857142857,-1.666666667
14_15,16,91,1,northampton,17,13,harlequins,4,1,0,1.29375,-2.25
14_15,16,91,0,harlequins,13,17,northampton,-4,0,0,-2.25,1.29375
14_15,16,92,1,exeter,16,6,bath,10,1,0,6.875,8.1875
14_15,16,92,0,bath,6,16,exeter,-10,0,0,8.1875,6.875
14_15,16,93,1,saracens,22,17,newcastle,5,1,0,-1.345454545,-4.5625
14_15,16,93,0,newcastle,17,22,saracens,-5,0,0,-4.5625,-1.345454545
14_15,16,94,0,sale,8,28,leicester,-20,0,0,4.245614035,0.1875
14_15,16,94,1,leicester,28,8,sale,20,1,0,0.1875,4.245614035
14_15,16,95,1,welsh,12,50,irish,-38,0,0,-1.52027027,-4.590909091
14_15,16,95,0,irish,50,12,welsh,38,1,0,-3.866666667,-1.52027027
14_15,16,96,1,wasps,32,21,gloucester,11,1,0,-1.90625,-0.375
14_15,16,96,0,gloucester,21,32,wasps,-11,0,0,-0.375,-1.90625
14_15,17,97,0,sale,3,12,bath,-9,0,0,-0.62605042,8.235294118
14_15,17,97,1,bath,12,3,sale,9,1,0,8.235294118,-0.62605042
14_15,17,98,0,northampton,33,33,gloucester,0,0,1,-1.808080808,-0.352941176
14_15,17,98,1,gloucester,33,33,northampton,0,0,1,-0.352941176,-1.808080808
14_15,17,99,0,irish,20,26,harlequins,-6,0,0,-4.590909091,-1.764705882
14_15,17,99,1,harlequins,26,20,irish,6,1,0,-1.764705882,-3.705882353
14_15,17,100,0,welsh,19,74,exeter,-55,0,0,-1.82464455,11.58823529
14_15,17,100,1,exeter,74,19,welsh,55,1,0,11.58823529,-1.82464455
14_15,17,101,1,newcastle,12,16,leicester,-4,0,0,1.567567568,0.411764706
14_15,17,101,0,leicester,16,12,newcastle,4,1,0,0.411764706,1.567567568
14_15,17,102,1,wasps,17,26,saracens,-9,0,0,2.35483871,9.411764706
14_15,17,102,0,saracens,26,17,wasps,9,1,0,9.411764706,2.35483871
14_15,18,103,0,wasps,30,52,northampton,-22,0,0,-3.609195402,10.5
14_15,18,103,1,northampton,52,30,wasps,22,1,0,10.5,-3.609195402
14_15,18,104,1,saracens,42,14,harlequins,28,1,0,-2.028901734,-3.222222222
14_15,18,104,0,harlequins,14,42,saracens,-28,0,0,-3.222222222,-2.028901734
14_15,18,105,0,newcastle,21,22,irish,-1,0,0,1.425,-3.388888889
14_15,18,105,1,irish,22,21,newcastle,1,1,0,-3.705882353,1.425
14_15,18,106,1,leicester,25,18,exeter,7,1,0,0.827380952,10.55555556
14_15,18,106,0,exeter,18,25,leicester,-7,0,0,10.55555556,0.827380952
14_15,18,107,1,welsh,14,29,bath,-15,0,0,-0.818965517,8.611111111
14_15,18,107,0,bath,29,14,welsh,15,1,0,8.611111111,-0.818965517
14_15,18,108,1,sale,23,6,gloucester,17,1,0,-1.816326531,-1.277777778
14_15,18,108,0,gloucester,6,23,sale,-17,0,0,-1.277777778,-1.816326531
14_15,19,109,1,newcastle,19,29,bath,-10,0,0,-0.570247934,8.684210526
14_15,19,109,0,bath,29,19,newcastle,10,1,0,8.684210526,-0.570247934
14_15,19,110,1,saracens,22,6,leicester,16,1,0,-1.526717557,-0.105263158
14_15,19,110,0,leicester,6,22,saracens,-16,0,0,-0.105263158,-1.526717557
14_15,19,111,1,harlequins,29,26,gloucester,3,1,0,-2.018867925,-1.368421053
14_15,19,111,0,gloucester,26,29,harlequins,-3,0,0,-1.368421053,-2.018867925
14_15,19,112,0,sale,23,25,irish,-2,0,0,-1.797385621,1.634285714
14_15,19,112,1,irish,25,23,sale,2,1,0,-3.388888889,-1.797385621
14_15,19,113,1,welsh,13,40,wasps,-27,0,0,-29.2,7.526315789
14_15,19,113,0,wasps,40,13,welsh,27,1,0,7.526315789,-29.2
14_15,19,114,0,northampton,10,21,exeter,-11,0,0,-1.298165138,10.57894737
14_15,19,114,1,exeter,21,10,northampton,11,1,0,10.57894737,-1.298165138
14_15,20,115,0,irish,18,43,bath,-25,0,0,1.634285714,9.5
14_15,20,115,1,bath,43,18,irish,25,1,0,9.5,-2.597826087
14_15,20,116,0,saracens,20,25,northampton,-5,0,0,4.055555556,9.15
14_15,20,116,1,northampton,25,20,saracens,5,1,0,9.15,4.055555556
14_15,20,117,0,welsh,17,38,leicester,-21,0,0,-1.700787402,0.95
14_15,20,117,1,leicester,38,17,welsh,21,1,0,0.95,-1.700787402
14_15,20,118,0,newcastle,40,42,gloucester,-2,0,0,1.869047619,-1.2
14_15,20,118,1,gloucester,42,40,newcastle,2,1,0,-1.2,1.869047619
14_15,20,119,1,sale,23,25,harlequins,-2,0,0,-2.091428571,-2.65
14_15,20,119,0,harlequins,25,23,sale,2,1,0,-2.65,-2.091428571
14_15,20,120,1,wasps,36,29,exeter,7,1,0,-1.788732394,9.7
14_15,20,120,0,exeter,29,36,wasps,-7,0,0,9.7,-1.788732394
14_15,21,121,1,harlequins,26,27,bath,-1,0,0,0.503597122,9.095238095
14_15,21,121,0,bath,27,26,harlequins,1,1,0,9.095238095,0.503597122
14_15,21,122,1,wasps,21,26,leicester,-5,0,0,-1.635658915,1.142857143
14_15,21,122,0,leicester,26,21,wasps,5,1,0,1.142857143,-1.635658915
14_15,21,123,0,welsh,0,46,northampton,-46,0,0,-3.623529412,10.9047619
14_15,21,123,1,northampton,46,0,welsh,46,1,0,10.9047619,-3.623529412
14_15,21,124,0,irish,13,35,gloucester,-22,0,0,-2.597826087,-0.095238095
14_15,21,124,1,gloucester,35,13,irish,22,1,0,-0.095238095,-6.379310345
14_15,21,125,1,sale,34,28,newcastle,6,1,0,6.636363636,-4.571428571
14_15,21,125,0,newcastle,28,34,sale,-6,0,0,-4.571428571,6.636363636
14_15,21,126,1,saracens,20,24,exeter,-4,0,0,-1.548837209,9.428571429
14_15,21,126,0,exeter,24,20,saracens,4,1,0,9.428571429,-1.548837209
13_14,1,1,,newcastle,0,21,bath,-21,0,0,,
13_14,1,1,,bath,21,0,newcastle,21,1,0,,
,,,,,,,,0,0,1,,
,,,,,,,,0,0,1,,
,,,,,,,,0,0,1,,
,,,,,,,,0,0,1,,
,,,,,,,,0,0,1,,
,,,,,,,,0,0,1,,
,,,,,,,,0,0,1,,
,,,,,,,,0,0,1,,
,,,,,,,,0,0,1,,
,,,,,,,,0,0,1,,
,,,,,,,,0,0,1,,
,,,,,,,,0,0,1,,
,,,,,,,,0,0,1,,
,,,,,,,,0,0,1,,
,,,,,,,,0,0,1,,
,,,,,,,,0,0,1,,
,,,,,,,,0,0,1,,
,,,,,,,,0,0,1,,
